z_window,z_threshold,hold_days,year,trades,avg_return,median_return,win_rate,compounded_return
20,-2.0,3,2025,1,-0.02634941315589845,-0.02634941315589845,0.0,-0.02634941315589845
20,-2.0,5,2021,2,-0.0021962854893091133,-0.0021962854893091133,0.5,-0.009532906510110073
20,-2.0,5,2022,1,-0.17091042196940187,-0.17091042196940187,0.0,-0.17091042196940187
20,-2.0,5,2023,1,0.05149253475111659,0.05149253475111659,1.0,0.05149253475111659
20,-2.0,5,2024,2,0.1212074389832809,0.1212074389832809,1.0,0.2539366300360131
20,-2.0,5,2025,1,0.043457930933499034,0.043457930933499034,1.0,0.043457930933499034
20,-1.75,1,2021,5,0.03054964009526946,0.03590413647636126,0.8,0.1548930823705954
20,-1.75,1,2022,2,-0.008555241540924075,-0.008555241540924075,0.5,-0.017485248030084444
20,-1.75,1,2023,1,-0.02031668787148988,-0.02031668787148988,0.0,-0.02031668787148988
20,-1.75,1,2024,4,0.036862613359217755,0.044733167735171664,1.0,0.15479363274516267
20,-1.75,1,2025,2,-0.0008173039276170302,-0.0008173039276170302,0.5,-0.0020331940599291887
20,-1.75,2,2021,5,0.0022742398232735717,0.0016569933313175245,0.6,0.0002185463944801569
20,-1.75,2,2022,2,-0.024914356958692985,-0.024914356958692985,0.5,-0.05098872385135922
20,-1.75,2,2023,1,-0.007859840463327217,-0.007859840463327217,0.0,-0.007859840463327217
20,-1.75,2,2024,4,0.04561549432549475,0.02428018180878533,0.75,0.18730406752521267
20,-1.75,2,2025,2,0.032556428053483244,0.032556428053483244,1.0,0.06552018989676678
20,-1.75,3,2021,5,0.0713033042775006,0.10548556011770738,0.8,0.380846585221549
20,-1.75,3,2022,2,0.01702606336732765,0.01702606336732765,0.5,0.021829039035064612
20,-1.75,3,2023,1,0.04269973024805607,0.04269973024805607,1.0,0.04269973024805607
20,-1.75,3,2024,4,0.017849679095420096,0.017257280074889803,0.75,0.0458243560847762
20,-1.75,3,2025,2,0.02044027134295301,0.02044027134295301,1.0,0.04099745004091604
20,-1.75,5,2021,5,0.11368323684525168,0.1705220535636809,0.8,0.6906480927339069
20,-1.75,5,2022,2,-0.14576172633256312,-0.14576172633256312,0.0,-0.27090942869391155
20,-1.75,5,2023,1,0.05149253475111659,0.05149253475111659,1.0,0.05149253475111659
20,-1.75,5,2024,4,0.05728404665391501,0.10787074068966107,0.75,0.2062470095275699
20,-1.75,5,2025,2,0.10227559544084774,0.10227559544084774,1.0,0.21306020074257015
20,-1.5,1,2021,5,0.03054964009526946,0.03590413647636126,0.8,0.1548930823705954
20,-1.5,1,2022,2,-0.008555241540924075,-0.008555241540924075,0.5,-0.017485248030084444
20,-1.5,1,2023,2,-0.021059552579840823,-0.021059552579840823,0.0,-0.04167615225279353
20,-1.5,1,2024,6,-0.007614679581841292,-0.015871119646438336,0.5,-0.05211728777687186
20,-1.5,1,2025,2,0.011722699556617755,0.011722699556617755,1.0,0.023527447218786968
20,-1.5,2,2021,5,0.0022742398232735717,0.0016569933313175245,0.6,0.0002185463944801569
20,-1.5,2,2022,2,-0.024914356958692985,-0.024914356958692985,0.5,-0.05098872385135922
20,-1.5,2,2023,2,0.02937514331203417,0.02937514331203417,0.5,0.058226741651919545
20,-1.5,2,2024,6,-0.03025811184761616,-0.03596426875770864,0.3333333333333333,-0.19141252538234144
20,-1.5,2,2025,2,0.05233234477149229,0.05233234477149229,1.0,0.10737007245273023
20,-1.5,3,2021,5,0.0713033042775006,0.10548556011770738,0.8,0.380846585221549
20,-1.5,3,2022,2,0.01702606336732765,0.01702606336732765,0.5,0.021829039035064612
20,-1.5,3,2023,2,0.02742389009221713,0.02742389009221713,1.0,0.05536649863975751
20,-1.5,3,2024,6,-0.0340439895535827,-0.06096322286212569,0.3333333333333333,-0.21877902921952908
20,-1.5,3,2025,2,0.05703574210619122,0.05703574210619122,1.0,0.11695403308132812
20,-1.5,5,2021,5,0.11368323684525168,0.1705220535636809,0.8,0.6906480927339069
20,-1.5,5,2022,2,-0.14576172633256312,-0.14576172633256312,0.0,-0.27090942869391155
20,-1.5,5,2023,2,0.04384440609949569,0.04384440609949569,1.0,0.08955265027333703
20,-1.5,5,2024,6,-0.07422614167125556,-0.13949589454904165,0.3333333333333333,-0.4334879587202495
20,-1.5,5,2025,2,0.11512608686967263,0.11512608686967263,1.0,0.24025446762542946
20,-1.25,1,2021,6,0.028970285167629933,0.03520063035758836,0.6666666666666666,0.17369371712157355
20,-1.25,1,2022,3,-0.0035102030386822505,0.006579873965801397,0.6666666666666666,-0.011020424792581918
