z_window,z_threshold,hold_days,trades,avg_return,median_return,win_rate,return_std,best_trade,worst_trade,quality_score,years_tested,positive_years
6,-1.4,1,51,0.0017660006427100744,0.006579873965801397,0.5686274509803921,0.047670738830020966,0.1042675485693545,-0.1243318538934356,0.264559927204911,6,3
6,-1.4,2,51,-0.0012152026490912231,-0.00684722242924507,0.43137254901960786,0.07272404648717748,0.2265133320427155,-0.13393466551885636,-0.11933168138809185,6,2
6,-1.4,3,51,0.005648143848839434,-0.003943351690334995,0.47058823529411764,0.09571107758005819,0.30828048905344985,-0.166363958150599,0.4214330887337696,6,3
6,-1.4,4,51,0.02846115437175476,0.03818064898568618,0.6862745098039216,0.0965060537836406,0.24214612989888917,-0.22065430991114954,2.106119657480502,6,5
6,-1.4,5,51,0.027467818196193795,0.05177875738071491,0.6470588235294118,0.11157202534072291,0.30615797310446546,-0.2852178471674264,1.7581419458623764,6,4
6,-1.4,6,51,0.02221076890103463,0.020524922847493743,0.5882352941176471,0.135237439702494,0.30291337614683056,-0.2773616420036179,1.1728750322291042,6,4
6,-1.4,7,51,0.019344504594260934,0.016175061869305507,0.5882352941176471,0.1347447888343569,0.2852498021622816,-0.3233408597392706,1.0252522286064716,6,4
6,-1.5,1,42,0.0027689644458406457,0.007313607882735829,0.5714285714285714,0.05073996207314236,0.1042675485693545,-0.1243318538934356,0.3536648401655476,6,3
6,-1.5,2,42,-0.0010023242586001428,-0.006617349181343768,0.4523809523809524,0.07048182376147455,0.2265133320427155,-0.13393466551885636,-0.0921628197036247,6,4
6,-1.5,3,42,0.007897185431644617,-0.0022493686513295197,0.47619047619047616,0.09790085805910774,0.30828048905344985,-0.166363958150599,0.5227697902181121,6,4
6,-1.5,4,42,0.027315807952662044,0.028280021159602486,0.6666666666666666,0.09701191547187812,0.24214612989888917,-0.22065430991114954,1.824793041634423,6,5
6,-1.5,5,42,0.024788550912915458,0.05173724963263471,0.6428571428571429,0.1133651137002701,0.30615797310446546,-0.2852178471674264,1.4170864873000502,6,4
6,-1.5,6,42,0.02043243082017724,0.017323742915373863,0.5952380952380952,0.13968102133448712,0.30291337614683056,-0.2773616420036179,0.9479976930196745,6,4
6,-1.5,7,42,0.009384243281242094,0.010075708681156592,0.5714285714285714,0.1342112725771104,0.26383606744790766,-0.3233408597392706,0.4531426175216701,6,4
6,-1.6,1,33,0.009564717011265513,0.0030601394308840124,0.6060606060606061,0.04132318156945028,0.1042675485693545,-0.057824745284545176,1.329643894318219,6,5
6,-1.6,2,33,-0.004305034108420196,-0.00684722242924507,0.42424242424242425,0.06212778298533516,0.2265133320427155,-0.13393466551885636,-0.39805924085751265,6,2
6,-1.6,3,33,0.018485443464858087,0.00866303529902579,0.5454545454545454,0.08703705951206599,0.30828048905344985,-0.166363958150599,1.2200640580946212,6,4
6,-1.6,4,33,0.04509782535593554,0.059088183081012824,0.7272727272727273,0.07668154690728664,0.23600405095476273,-0.10686804998402133,3.3784827436127935,6,6
6,-1.6,5,33,0.03032044869889956,0.0516957418845545,0.6666666666666666,0.09102387117335053,0.1777050507675899,-0.20948503381322603,1.913538885752925,6,5
6,-1.6,6,33,0.030365111026557305,0.04167753764196891,0.6666666666666666,0.12274255084783903,0.2912142757587206,-0.2669770727101105,1.4211394610609247,6,4
6,-1.6,7,33,0.019820357593552076,0.04710254884359655,0.6363636363636364,0.11625245347027595,0.2038807310337345,-0.23365871881686084,0.9794140465350074,6,4
6,-1.7,1,20,0.0003459419267670516,0.0021791950215073186,0.55,0.03772502383279351,0.08136126963925805,-0.057824745284545176,0.04100989666418459,5,3
6,-1.7,2,20,-0.013764929280272935,-0.007353567099825209,0.35,0.05248589381683687,0.08671992676381968,-0.13393466551885636,-1.1728605664440028,5,2
6,-1.7,3,20,0.01843252632697902,0.018630626114960247,0.6,0.07540414196817678,0.18620839587796123,-0.166363958150599,1.0932126747513256,5,4
6,-1.7,4,20,0.05516527356976932,0.07063519716510569,0.8,0.0724861756635574,0.15474613041578777,-0.10686804998402133,3.4034986828914158,5,5
6,-1.7,5,20,0.052332574490090066,0.06459608765432812,0.8,0.08449930154547207,0.1777050507675899,-0.20948503381322603,2.7697079586969275,5,5
6,-1.7,6,20,0.04093397020716766,0.06207350149068169,0.8,0.10697092915237655,0.17487063954619964,-0.2669770727101105,1.7113273802042974,5,4
6,-1.7,7,20,0.02916304436603976,0.04299689146048946,0.65,0.10687506807775883,0.18643993747335452,-0.22754343429138457,1.2203136017815135,5,4
6,-1.8,1,7,-0.0062276825380226065,-0.014759221616523543,0.42857142857142855,0.043742569999606816,0.08136126963925805,-0.04806530262640496,-0.3766788105960732,4,2
6,-1.8,2,7,-0.04314069588921817,-0.039906433693591925,0.0,0.04621458720337553,-0.0031651612656791173,-0.13393466551885636,-2.4697732819043976,4,0
