signal_date,entry_date,day,cumulative_return
2025-11-04,2025-11-05,4,0.03818064898568618
2025-11-04,2025-11-05,5,-0.03455660045138953
2025-11-04,2025-11-05,6,0.009316640140982102
2025-11-04,2025-11-05,7,-0.09436283030105508
2025-11-04,2025-11-05,8,-0.10267567894208407
2025-11-04,2025-11-05,9,-0.14931992780544168
2025-11-04,2025-11-05,10,-0.2068170721819167
2025-12-12,2025-12-15,1,-0.04667775457140799
2025-12-12,2025-12-15,2,-0.06265131055203232
2025-12-12,2025-12-15,3,-0.166363958150599
2025-12-12,2025-12-15,4,-0.10686804998402133
2025-12-12,2025-12-15,5,-0.034176664685322766
2025-12-12,2025-12-15,6,0.0014744640965371758
2025-12-12,2025-12-15,7,0.011660576586263183
2025-12-12,2025-12-15,8,0.023467102604858958
2025-12-12,2025-12-15,9,0.023467102604858958
2025-12-12,2025-12-15,10,0.01443856712403968
2026-06-05,2026-06-08,1,0.001887521536889647
2026-06-05,2026-06-08,2,-0.04435931861327369
2026-06-05,2026-06-08,3,-0.14400788611058224
2026-06-05,2026-06-08,4,0.06135446869742256
2026-06-05,2026-06-08,5,0.11200791478136041
2026-06-05,2026-06-08,6,0.2912142757587206
2026-06-05,2026-06-08,7,0.07177893646327926
2026-06-05,2026-06-08,8,0.10812246354873034
2026-06-05,2026-06-08,9,0.3233880591191858
2026-06-05,2026-06-08,10,0.42516882030916214
