asset,signal_date,entry_date,exit_date,z_score,entry_price,exit_price,return,winner,year
AVGO,2023-05-02,2023-05-03,2023-05-09,-1.8825692179080473,59.24826411170819,59.284208084106446,0.0006066670971234256,True,2023
AVGO,2024-10-31,2024-11-01,2024-11-07,-1.774268939612821,165.8628684341025,180.8293351135254,0.09023397955624457,True,2024
AVGO,2024-11-15,2024-11-18,2024-11-22,-1.922281970697257,163.29990093332182,161.56683283996583,-0.010612793292897549,False,2024
AVGO,2026-06-05,2026-06-08,2026-06-12,-1.8904816803758362,402.38575709437697,381.0848117980957,-0.052936628398815966,False,2026
AVGO,2026-06-10,2026-06-11,2026-06-17,-1.82799169140877,372.60310248777375,391.8868651428223,0.05175416556195023,True,2026
TSM,2021-05-10,2021-05-11,2021-05-17,-2.0903766087315816,100.86326898443983,100.72595544433594,-0.0013613830038076147,False,2021
TSM,2021-08-17,2021-08-18,2021-08-24,-2.739737985785698,103.10485266201624,103.23956023406983,0.0013065104946627937,True,2021
TSM,2022-08-29,2022-08-30,2022-09-06,-2.073422419685918,78.73262007110546,75.0582589416504,-0.046668853724627146,False,2022
TSM,2023-02-17,2023-02-21,2023-02-27,-1.970705528586442,83.99863766846633,82.80641580963135,-0.014193347558094427,False,2023
TSM,2023-04-12,2023-04-13,2023-04-19,-1.8590170024189436,82.69714294716267,83.1707361831665,0.005726839152186969,True,2023
TSM,2023-04-21,2023-04-24,2023-04-28,-1.8404009329717825,81.5889192241063,80.37709249877929,-0.01485283463552689,False,2023
TSM,2023-07-20,2023-07-21,2023-07-27,-1.9669850505974389,93.90363388322587,95.12349314117432,0.012990543682957156,True,2023
TSM,2023-08-02,2023-08-03,2023-08-09,-1.7748247838960103,90.98712956856686,89.98192659759522,-0.011047749013932018,False,2023
TSM,2024-11-13,2024-11-14,2024-11-20,-2.0253794899192283,184.538674688166,184.13090084838868,-0.002209693119701761,False,2024
TSM,2024-11-15,2024-11-18,2024-11-22,-1.775645031170159,180.57173082334697,185.8122774810791,0.02902196613964425,True,2024
TSM,2024-11-27,2024-11-29,2024-12-05,-1.8190000841842464,177.7898870795854,199.7129899291992,0.12330905435470685,True,2024
TSM,2025-08-19,2025-08-20,2025-08-26,-1.8362019460559287,225.87014159826646,235.87265588378907,0.044284358325294315,True,2025
TSM,2025-11-07,2025-11-10,2025-11-14,-1.86642751961733,292.35068686563056,282.3106684570312,-0.03434238009235091,False,2025
TSM,2025-11-13,2025-11-14,2025-11-20,-2.065025333099838,274.026670095331,275.05511389160154,0.0037530792017899106,True,2025
