z_window,z_threshold,hold_days,year,trades,avg_return,median_return,win_rate
5,-1.6,4,2025,5,0.00767579810558594,0.03818064898568618,0.8
5,-1.6,5,2021,4,0.0759373869868184,0.06387438100548426,1.0
5,-1.6,5,2022,1,0.10575255053233068,0.10575255053233068,1.0
5,-1.6,5,2023,5,0.03705563225831317,0.05149260605819461,0.6
5,-1.6,5,2024,4,-0.014710857230981728,0.024119366300366374,0.5
5,-1.6,5,2025,5,0.00925392876148572,0.011528409678871476,0.6
5,-1.6,6,2021,4,0.10429041941744527,0.08978620455748176,1.0
5,-1.6,6,2022,1,0.022585761753831424,0.022585761753831424,1.0
5,-1.6,6,2023,5,0.020921795453013158,0.014122562983253983,0.6
5,-1.6,6,2024,4,-0.06829522982737818,-0.037139171774290214,0.5
5,-1.6,6,2025,5,0.027738399000227808,0.009316640140982102,0.8
5,-1.6,7,2021,4,0.09445931676991676,0.07692353356865445,1.0
5,-1.6,7,2022,1,0.09267611600838377,0.09267611600838377,1.0
5,-1.6,7,2023,5,0.007181538007884658,-0.013909210095575997,0.2
5,-1.6,7,2024,4,-0.06913329935063511,-0.058589117279412906,0.25
5,-1.6,7,2025,5,-0.006651319646148002,-0.006114724021395679,0.4
5,-1.5,1,2021,9,-0.016538027243752713,-0.02171005146748295,0.4444444444444444
5,-1.5,1,2022,2,0.02701294143548494,0.02701294143548494,1.0
