z_window,z_threshold,hold_days,signal_date,entry_date,exit_date,signal_z_score,entry_price,exit_price,return,winner,year
5,-1.5,3,2024-10-31,2024-11-01,2024-11-05,-1.5471607320464118,30.434150582705534,31.056219669342042,0.020439837311904574,True,2024
5,-1.5,3,2024-11-27,2024-11-29,2024-12-03,-1.5306475463732707,27.320326604381687,29.423246961593627,0.07697273856435771,True,2024
5,-1.5,3,2024-12-10,2024-12-11,2024-12-13,-1.5405055461573194,28.093825835278203,30.383240673065185,0.08149174310435492,True,2024
5,-1.5,3,2024-12-30,2024-12-31,2025-01-03,-1.6223836825274622,28.044005721247803,29.59579419708252,0.055334052177110626,True,2024
5,-1.5,3,2025-05-21,2025-05-22,2025-05-27,-1.6680343735336967,16.92852358573872,17.213282106399536,0.016821225975117482,True,2025
5,-1.5,3,2025-07-22,2025-07-23,2025-07-25,-1.6680922567930943,25.668191678003822,25.566972970962524,-0.003943351690334995,False,2025
5,-1.5,3,2025-08-29,2025-09-02,2025-09-04,-1.590027342803307,24.097078995766488,25.616906965255737,0.06307104565479738,True,2025
5,-1.5,3,2025-10-10,2025-10-13,2025-10-15,-1.6157459693088616,38.26822954177856,39.94001954269409,0.04368610779577309,True,2025
5,-1.5,3,2025-10-22,2025-10-23,2025-10-27,-1.5161545276138848,37.76772954177856,46.793160152435306,0.23897201976816862,True,2025
5,-1.5,3,2025-11-04,2025-11-05,2025-11-07,-1.707625816318811,43.26322122192382,41.69826167678833,-0.036172977899815884,False,2025
5,-1.5,3,2025-12-12,2025-12-15,2025-12-17,-1.7394666220687278,43.15311061096191,35.97398832321167,-0.166363958150599,False,2025
5,-1.5,3,2026-06-05,2026-06-08,2026-06-10,-1.5506494524841414,210.83061511230466,180.4693439025879,-0.14400788611058224,False,2026
5,-1.5,5,2021-01-27,2021-01-28,2021-02-03,-1.6522276372549272,33.97683041966189,35.490032913208005,0.04453630532500896,True,2021
5,-1.5,5,2021-04-19,2021-04-20,2021-04-26,-1.5301677688380682,37.885258638039126,40.91109339523315,0.0798683938284086,True,2021
5,-1.5,5,2021-04-30,2021-05-03,2021-05-07,-1.5340653337715822,36.63245801109698,35.79358114242554,-0.022899824751517417,False,2021
5,-1.5,5,2021-06-18,2021-06-21,2021-06-25,-1.5633812161757379,36.467358586928334,39.4087939453125,0.08065940260994164,True,2021
5,-1.5,5,2021-07-08,2021-07-09,2021-07-15,-1.5024642555808476,39.02154069043881,38.206955909729004,-0.02087525931310552,False,2021
5,-1.5,5,2021-07-15,2021-07-16,2021-07-22,-1.6459661713140536,38.87585504510513,39.486337783813475,0.015703390652116456,True,2021
5,-1.5,5,2021-07-27,2021-07-28,2021-08-03,-1.657992168978995,38.39998143666492,44.55540228652954,0.16029749545626926,True,2021
5,-1.5,5,2021-08-10,2021-08-11,2021-08-17,-1.597148484343668,43.7608262254665,39.21495721435547,-0.10387987163883972,False,2021
5,-1.5,5,2021-08-17,2021-08-18,2021-08-24,-1.6303527429974147,39.12835955420487,42.384323432922365,0.08321237884269017,True,2021
5,-1.5,5,2022-08-09,2022-08-10,2022-08-16,-1.6977630475495098,18.56155034397228,20.52448175239563,0.1057525568741513,True,2022
5,-1.5,5,2022-08-22,2022-08-23,2022-08-29,-1.5346900966995287,16.615895715491366,14.61180217552185,-0.12061303069572438,False,2022
5,-1.5,5,2023-04-19,2023-04-20,2023-04-26,-1.6197637960192615,14.50855120822883,13.089366974830627,-0.0978170882143824,False,2023
5,-1.5,5,2023-04-25,2023-04-26,2023-05-02,-1.7032257618443751,13.360814472170603,14.048796675682068,0.05149253475111659,True,2023
5,-1.5,5,2023-05-24,2023-05-25,2023-06-01,-1.6201453318052021,17.81441975929096,21.69486666870117,0.21782617462948206,True,2023
5,-1.5,5,2023-06-21,2023-06-22,2023-06-28,-1.5367252864397833,21.88976119722896,23.257972560882568,0.06250462722392824,True,2023
5,-1.5,5,2023-07-20,2023-07-21,2023-07-27,-1.5592558018264884,24.571943505890648,25.944602851867675,0.055862872452395074,True,2023
5,-1.5,5,2023-11-28,2023-11-29,2023-12-05,-1.6248555088954826,23.087323651783716,21.53850806236267,-0.06708510751532626,False,2023
5,-1.5,5,2023-12-20,2023-12-21,2023-12-28,-1.7501443873075508,29.343188701449197,31.71591583442688,0.08086125734728,True,2023
5,-1.5,5,2024-01-02,2024-01-03,2024-01-09,-1.7513322558852733,26.226400861672825,27.975370725631713,0.06668737632676192,True,2024
5,-1.5,5,2024-07-17,2024-07-18,2024-07-24,-1.7484324087255723,53.613488324659784,42.38225793457031,-0.20948516392140093,False,2024
5,-1.5,5,2024-08-22,2024-08-23,2024-08-29,-1.5300357781618539,38.76484443567189,35.753235328674315,-0.0776891833525909,False,2024
5,-1.5,5,2024-10-15,2024-10-16,2024-10-22,-1.5669318167777775,35.45196556078818,34.33206956863403,-0.031589108655594944,False,2024
5,-1.5,5,2024-10-23,2024-10-24,2024-10-30,-1.6612053945246938,34.29172253324224,33.659082950592044,-0.018448754857296024,False,2024
5,-1.5,5,2024-10-31,2024-11-01,2024-11-07,-1.5471607320464118,30.434150582705534,35.83638497543335,0.17750567337330847,True,2024
5,-1.5,5,2024-11-27,2024-11-29,2024-12-05,-1.5306475463732707,27.320326604381687,28.819544094085693,0.05487553320330951,True,2024
5,-1.5,5,2024-12-10,2024-12-11,2024-12-17,-1.5405055461573194,28.093825835278203,30.808801929473876,0.09663960010695316,True,2024
5,-1.5,5,2024-12-30,2024-12-31,2025-01-07,-1.6223836825274622,28.044005721247803,30.915792457580565,0.10240287228856637,True,2024
5,-1.5,5,2025-05-21,2025-05-22,2025-05-29,-1.6680343735336967,16.92852358573872,17.123682540893554,0.011528409678871476,True,2025
5,-1.5,5,2025-07-22,2025-07-23,2025-07-29,-1.6680922567930943,25.668191678003822,26.995127889633178,0.0516957418845545,True,2025
5,-1.5,5,2025-08-29,2025-09-02,2025-09-08,-1.590027342803307,24.097078995766488,27.04506188392639,0.12233776918263906,True,2025
5,-1.5,5,2025-10-10,2025-10-13,2025-10-17,-1.6157459693088616,38.26822954177856,40.24971091461182,0.05177875738071491,True,2025
5,-1.5,5,2025-10-22,2025-10-23,2025-10-29,-1.5161545276138848,37.76772954177856,49.33062106704712,0.30615797310446546,True,2025
5,-1.5,5,2025-11-04,2025-11-05,2025-11-11,-1.707625816318811,43.26322122192382,41.76819137191772,-0.03455660045138953,False,2025
5,-1.5,5,2025-12-12,2025-12-15,2025-12-19,-1.7394666220687278,43.15311061096191,41.67828121948242,-0.034176664685322766,False,2025
5,-1.5,5,2026-06-05,2026-06-08,2026-06-12,-1.5506494524841414,210.83061511230466,234.44531268310547,0.11200791478136041,True,2026
5,-1.75,1,2023-12-20,2023-12-21,2023-12-21,-1.7501443873075508,29.343188701449197,29.78658222198486,0.01511061136016778,True,2023
5,-1.75,1,2024-01-02,2024-01-03,2024-01-03,-1.7513322558852733,26.226400861672825,25.83931959915161,-0.014759221616523543,False,2024
5,-1.75,2,2023-12-20,2023-12-21,2023-12-22,-1.7501443873075508,29.343188701449197,30.032668058395387,0.023497083563796206,True,2023
5,-1.75,2,2024-01-02,2024-01-03,2024-01-04,-1.7513322558852733,26.226400861672825,25.1798006401062,-0.039906361040035865,False,2024
5,-1.75,3,2023-12-20,2023-12-21,2023-12-26,-1.7501443873075508,29.343188701449197,31.65685668182373,0.07884855337007957,True,2023
5,-1.75,3,2024-01-02,2024-01-03,2024-01-05,-1.7513322558852733,26.226400861672825,25.52432347869873,-0.026769871576244775,False,2024
5,-1.75,5,2023-12-20,2023-12-21,2023-12-28,-1.7501443873075508,29.343188701449197,31.71591583442688,0.08086125734728,True,2023
5,-1.75,5,2024-01-02,2024-01-03,2024-01-09,-1.7513322558852733,26.226400861672825,27.975370725631713,0.06668737632676192,True,2024
10,-1.25,1,2021-01-27,2021-01-28,2021-01-28,-2.294786590258944,33.97683041966189,34.03811714172363,0.001803779849525844,True,2021
10,-1.25,1,2021-04-19,2021-04-20,2021-04-20,-2.1797701969810404,37.885258638039126,36.549568782806396,-0.03525618943225628,False,2021
10,-1.25,1,2021-04-22,2021-04-23,2021-04-23,-1.455206153920154,37.21515956155478,38.91449198913574,0.045662371130512636,True,2021
10,-1.25,1,2021-04-30,2021-05-03,2021-05-03,-1.626848957969754,36.63245801109698,34.5141954574585,-0.057824745284545176,False,2021
10,-1.25,1,2021-05-10,2021-05-11,2021-05-11,-1.581224696819866,28.183293496078416,31.121896419525147,0.1042675485693545,True,2021
10,-1.25,1,2021-06-18,2021-06-21,2021-06-21,-1.519456718272313,36.467358586928334,36.946956184387204,0.013151421326983215,True,2021
10,-1.25,1,2021-07-08,2021-07-09,2021-07-09,-1.5906037502402046,39.02154069043881,40.484648014068604,0.037494863035694825,True,2021
10,-1.25,1,2021-07-15,2021-07-16,2021-07-16,-1.7971039703078868,38.87585504510513,35.628806201934815,-0.08352353509403143,False,2021
10,-1.25,1,2021-08-12,2021-08-13,2021-08-13,-1.8182137089664983,41.27464028514248,42.142016086578366,0.021014739206536737,True,2021
